Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 36.5754, 36.5754, 0, 94
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 12.17, 35.83, 0.25, 5
0, 6, 12, 1, 36.5754, 13.92, 0.260, 1.391, 0.004

1, 6, 13, 1, 36.5754, 13.92, 0.280, 1.379, 0.004

0, 6, 12, 2, 36.5754, 13.92, 0.260, 1.391, 0.004

1, 6, 13, 2, 36.5754, 13.92, 0.280, 1.380, 0.004

0, 6, 12, 3, 36.5754, 13.92, 0.260, 1.394, 0.004

1, 6, 13, 3, 36.5754, 13.92, 0.280, 1.384, 0.004

0, 6, 12, 4, 36.5754, 13.92, 0.260, 1.398, 0.004

1, 6, 13, 4, 36.5754, 13.92, 0.280, 1.380, 0.004

0, 6, 12, 0, 36.5754, 14.17, 0.260, 1.383, 0.004

1, 6, 13, 0, 36.5754, 14.17, 0.300, 1.390, 0.004

0, 6, 12, 1, 36.5754, 14.17, 0.260, 1.391, 0.004

1, 6, 13, 1, 36.5754, 14.17, 0.300, 1.386, 0.004

0, 6, 12, 2, 36.5754, 14.17, 0.260, 1.391, 0.004

1, 6, 13, 2, 36.5754, 14.17, 0.300, 1.381, 0.004

0, 6, 12, 3, 36.5754, 14.17, 0.260, 1.391, 0.004

1, 6, 13, 3, 36.5754, 14.17, 0.310, 1.380, 0.004

0, 6, 12, 4, 36.5754, 14.17, 0.260, 1.382, 0.004

1, 6, 13, 4, 36.5754, 14.17, 0.310, 1.385, 0.004

0, 6, 12, 0, 36.5754, 14.42, 0.260, 1.391, 0.004

1, 6, 13, 0, 36.5754, 14.42, 0.330, 1.374, 0.004

0, 6, 12, 1, 36.5754, 14.42, 0.260, 1.395, 0.004

1, 6, 13, 1, 36.5754, 14.42, 0.340, 1.381, 0.004

0, 6, 12, 2, 36.5754, 14.42, 0.260, 1.390, 0.004

1, 6, 13, 2, 36.5754, 14.42, 0.340, 1.381, 0.004

0, 6, 12, 3, 36.5754, 14.42, 0.260, 1.387, 0.004

1, 6, 13, 3, 36.5754, 14.42, 0.330, 1.374, 0.004

0, 6, 12, 4, 36.5754, 14.42, 0.260, 1.397, 0.004

1, 6, 13, 4, 36.5754, 14.42, 0.330, 1.382, 0.004

0, 6, 12, 0, 36.5754, 14.67, 0.260, 1.387, 0.004

1, 6, 13, 0, 36.5754, 14.67, 0.340, 1.377, 0.004

0, 6, 12, 1, 36.5754, 14.67, 0.260, 1.388, 0.004

1, 6, 13, 1, 36.5754, 14.67, 0.340, 1.376, 0.004

0, 6, 12, 2, 36.5754, 14.67, 0.260, 1.390, 0.004

1, 6, 13, 2, 36.5754, 14.67, 0.340, 1.387, 0.004

0, 6, 12, 3, 36.5754, 14.67, 0.260, 1.389, 0.004

1, 6, 13, 3, 36.5754, 14.67, 0.340, 1.379, 0.004

0, 6, 12, 4, 36.5754, 14.67, 0.260, 1.387, 0.004

1, 6, 13, 4, 36.5754, 14.67, 0.340, 1.385, 0.004

0, 6, 12, 0, 36.5754, 14.92, 0.260, 1.385, 0.004

1, 6, 13, 0, 36.5754, 14.92, 0.350, 1.379, 0.004

0, 6, 12, 1, 36.5754, 14.92, 0.260, 1.385, 0.004

1, 6, 13, 1, 36.5754, 14.92, 0.350, 1.377, 0.004

0, 6, 12, 2, 36.5754, 14.92, 0.260, 1.386, 0.004

1, 6, 13, 2, 36.5754, 14.92, 0.350, 1.375, 0.004

0, 6, 12, 3, 36.5754, 14.92, 0.260, 1.390, 0.004

1, 6, 13, 3, 36.5754, 14.92, 0.340, 1.381, 0.004

0, 6, 12, 4, 36.5754, 14.92, 0.260, 1.391, 0.004

1, 6, 13, 4, 36.5754, 14.92, 0.340, 1.383, 0.004

0, 6, 12, 0, 36.5754, 15.17, 0.260, 1.396, 0.004

1, 6, 13, 0, 36.5754, 15.17, 0.350, 1.385, 0.004

0, 6, 12, 1, 36.5754, 15.17, 0.260, 1.394, 0.004

1, 6, 13, 1, 36.5754, 15.17, 0.360, 1.380, 0.004

0, 6, 12, 2, 36.5754, 15.17, 0.260, 1.396, 0.004

1, 6, 13, 2, 36.5754, 15.17, 0.350, 1.377, 0.004

0, 6, 12, 3, 36.5754, 15.17, 0.260, 1.394, 0.004

1, 6, 13, 3, 36.5754, 15.17, 0.350, 1.380, 0.004

0, 6, 12, 4, 36.5754, 15.17, 0.260, 1.385, 0.004

1, 6, 13, 4, 36.5754, 15.17, 0.350, 1.368, 0.004

0, 6, 12, 0, 36.5754, 15.42, 0.260, 1.390, 0.004

1, 6, 13, 0, 36.5754, 15.42, 0.350, 1.386, 0.004

0, 6, 12, 1, 36.5754, 15.42, 0.260, 1.384, 0.004

1, 6, 13, 1, 36.5754, 15.42, 0.350, 1.383, 0.004

0, 6, 12, 2, 36.5754, 15.42, 0.260, 1.398, 0.004

1, 6, 13, 2, 36.5754, 15.42, 0.360, 1.385, 0.004

0, 6, 12, 3, 36.5754, 15.42, 0.260, 1.390, 0.004

1, 6, 13, 3, 36.5754, 15.42, 0.360, 1.390, 0.004

0, 6, 12, 4, 36.5754, 15.42, 0.260, 1.386, 0.004

1, 6, 13, 4, 36.5754, 15.42, 0.350, 1.382, 0.004

0, 6, 12, 0, 36.5754, 15.67, 0.260, 1.393, 0.004

1, 6, 13, 0, 36.5754, 15.67, 0.360, 1.399, 0.004

0, 6, 12, 1, 36.5754, 15.67, 0.260, 1.392, 0.004

1, 6, 13, 1, 36.5754, 15.67, 0.360, 1.380, 0.004

0, 6, 12, 2, 36.5754, 15.67, 0.260, 1.395, 0.004

1, 6, 13, 2, 36.5754, 15.67, 0.350, 1.385, 0.004

0, 6, 12, 3, 36.5754, 15.67, 0.260, 1.389, 0.004

1, 6, 13, 3, 36.5754, 15.67, 0.350, 1.388, 0.004

0, 6, 12, 4, 36.5754, 15.67, 0.250, 1.389, 0.004

1, 6, 13, 4, 36.5754, 15.67, 0.350, 1.381, 0.004

0, 6, 12, 0, 36.5754, 15.92, 0.260, 1.387, 0.004

1, 6, 13, 0, 36.5754, 15.92, 0.340, 1.390, 0.004

0, 6, 12, 1, 36.5754, 15.92, 0.250, 1.394, 0.004

1, 6, 13, 1, 36.5754, 15.92, 0.350, 1.374, 0.004

0, 6, 12, 2, 36.5754, 15.92, 0.260, 1.389, 0.004

1, 6, 13, 2, 36.5754, 15.92, 0.340, 1.378, 0.004

0, 6, 12, 3, 36.5754, 15.92, 0.260, 1.395, 0.004

1, 6, 13, 3, 36.5754, 15.92, 0.340, 1.376, 0.004

0, 6, 12, 4, 36.5754, 15.92, 0.260, 1.391, 0.004

1, 6, 13, 4, 36.5754, 15.92, 0.350, 1.374, 0.004

0, 6, 12, 0, 36.5754, 16.17, 0.260, 1.394, 0.004

1, 6, 13, 0, 36.5754, 16.17, 0.340, 1.388, 0.004

0, 6, 12, 1, 36.5754, 16.17, 0.260, 1.389, 0.004

1, 6, 13, 1, 36.5754, 16.17, 0.340, 1.373, 0.004

0, 6, 12, 2, 36.5754, 16.17, 0.260, 1.388, 0.004

1, 6, 13, 2, 36.5754, 16.17, 0.340, 1.380, 0.004

0, 6, 12, 3, 36.5754, 16.17, 0.260, 1.387, 0.004

1, 6, 13, 3, 36.5754, 16.17, 0.350, 1.380, 0.004

0, 6, 12, 4, 36.5754, 16.17, 0.260, 1.388, 0.004

1, 6, 13, 4, 36.5754, 16.17, 0.330, 1.382, 0.004

0, 6, 12, 0, 36.5754, 16.42, 0.260, 1.396, 0.004

1, 6, 13, 0, 36.5754, 16.42, 0.340, 1.376, 0.004

0, 6, 12, 1, 36.5754, 16.42, 0.260, 1.394, 0.004

1, 6, 13, 1, 36.5754, 16.42, 0.350, 1.374, 0.004

0, 6, 12, 2, 36.5754, 16.42, 0.260, 1.393, 0.004

1, 6, 13, 2, 36.5754, 16.42, 0.330, 1.371, 0.004

0, 6, 12, 3, 36.5754, 16.42, 0.260, 1.385, 0.004

1, 6, 13, 3, 36.5754, 16.42, 0.340, 1.373, 0.004

0, 6, 12, 4, 36.5754, 16.42, 0.260, 1.390, 0.004

1, 6, 13, 4, 36.5754, 16.42, 0.340, 1.377, 0.004

0, 6, 12, 0, 36.5754, 16.67, 0.260, 1.381, 0.004

1, 6, 13, 0, 36.5754, 16.67, 0.350, 1.364, 0.004

0, 6, 12, 1, 36.5754, 16.67, 0.260, 1.399, 0.004

1, 6, 13, 1, 36.5754, 16.67, 0.340, 1.382, 0.004

0, 6, 12, 2, 36.5754, 16.67, 0.260, 1.380, 0.004

1, 6, 13, 2, 36.5754, 16.67, 0.360, 1.384, 0.004

0, 6, 12, 3, 36.5754, 16.67, 0.260, 1.392, 0.004

1, 6, 13, 3, 36.5754, 16.67, 0.350, 1.380, 0.004

0, 6, 12, 4, 36.5754, 16.67, 0.260, 1.398, 0.004

1, 6, 13, 4, 36.5754, 16.67, 0.350, 1.381, 0.004

0, 6, 12, 0, 36.5754, 16.92, 0.260, 1.391, 0.004

1, 6, 13, 0, 36.5754, 16.92, 0.360, 1.394, 0.004

0, 6, 12, 1, 36.5754, 16.92, 0.260, 1.399, 0.004

1, 6, 13, 1, 36.5754, 16.92, 0.350, 1.371, 0.004

0, 6, 12, 2, 36.5754, 16.92, 0.260, 1.389, 0.004

1, 6, 13, 2, 36.5754, 16.92, 0.350, 1.380, 0.004

0, 6, 12, 3, 36.5754, 16.92, 0.260, 1.399, 0.004

1, 6, 13, 3, 36.5754, 16.92, 0.360, 1.389, 0.004

0, 6, 12, 4, 36.5754, 16.92, 0.260, 1.386, 0.004

1, 6, 13, 4, 36.5754, 16.92, 0.350, 1.383, 0.004

0, 6, 12, 0, 36.5754, 17.17, 0.260, 1.393, 0.004

1, 6, 13, 0, 36.5754, 17.17, 0.360, 1.377, 0.004

0, 6, 12, 1, 36.5754, 17.17, 0.260, 1.392, 0.004

1, 6, 13, 1, 36.5754, 17.17, 0.360, 1.381, 0.004

0, 6, 12, 2, 36.5754, 17.17, 0.260, 1.387, 0.004

1, 6, 13, 2, 36.5754, 17.17, 0.350, 1.382, 0.004

0, 6, 12, 3, 36.5754, 17.17, 0.260, 1.391, 0.004

1, 6, 13, 3, 36.5754, 17.17, 0.360, 1.392, 0.004

0, 6, 12, 4, 36.5754, 17.17, 0.260, 1.386, 0.004

1, 6, 13, 4, 36.5754, 17.17, 0.370, 1.372, 0.004

0, 6, 12, 0, 0, 0, 0.250, 1.393, 0.004

1, 6, 13, 0, 0, 0, 0.250, 1.384, 0.004

0, 6, 12, 1, 0, 0, 0.260, 1.391, 0.004

1, 6, 13, 1, 0, 0, 0.260, 1.385, 0.004

0, 6, 12, 2, 0, 0, 0.260, 1.391, 0.004

1, 6, 13, 2, 0, 0, 0.260, 1.386, 0.004

0, 6, 12, 3, 0, 0, 0.260, 1.391, 0.004

1, 6, 13, 3, 0, 0, 0.260, 1.377, 0.004

0, 6, 12, 4, 0, 0, 0.260, 1.378, 0.004

1, 6, 13, 4, 0, 0, 0.260, 1.378, 0.004

0, 6, 12, 0, 36.5754, 17.42, 0.260, 1.384, 0.004

1, 6, 13, 0, 36.5754, 17.42, 0.360, 1.373, 0.004

0, 6, 12, 1, 36.5754, 17.42, 0.260, 1.389, 0.004

1, 6, 13, 1, 36.5754, 17.42, 0.360, 1.383, 0.004

0, 6, 12, 2, 36.5754, 17.42, 0.250, 1.385, 0.004

1, 6, 13, 2, 36.5754, 17.42, 0.360, 1.381, 0.004

0, 6, 12, 3, 36.5754, 17.42, 0.260, 1.392, 0.004

1, 6, 13, 3, 36.5754, 17.42, 0.370, 1.380, 0.004

0, 6, 12, 4, 36.5754, 17.42, 0.260, 1.392, 0.004

1, 6, 13, 4, 36.5754, 17.42, 0.360, 1.380, 0.004

0, 6, 12, 0, 36.5754, 17.67, 0.260, 1.389, 0.004

1, 6, 13, 0, 36.5754, 17.67, 0.360, 1.375, 0.004

0, 6, 12, 1, 36.5754, 17.67, 0.260, 1.387, 0.004

1, 6, 13, 1, 36.5754, 17.67, 0.370, 1.393, 0.004

0, 6, 12, 2, 36.5754, 17.67, 0.260, 1.394, 0.004

1, 6, 13, 2, 36.5754, 17.67, 0.370, 1.381, 0.004

0, 6, 12, 3, 36.5754, 17.67, 0.260, 1.394, 0.004

1, 6, 13, 3, 36.5754, 17.67, 0.360, 1.383, 0.004

0, 6, 12, 4, 36.5754, 17.67, 0.260, 1.382, 0.004

1, 6, 13, 4, 36.5754, 17.67, 0.360, 1.382, 0.004

0, 6, 12, 0, 36.5754, 17.92, 0.260, 1.391, 0.004

